Image_No,Noise_Level,Mean_Filter,Median_Filter,Adaptive_Median,Spatial_Adaptive_Filter,Proposed_Method,Proposed_v1_Method
1,0.1,68.157107122106,73.2653363165928,75.1483851961657,64.3709658760201,71.3309948184266,69.4807890330401
2,0.2,68.132416864655,73.4547177277522,75.3485283332952,64.2205323493428,71.293466994151,69.0515020964899
3,0.3,68.0808101512863,73.4229458008086,75.4477459993573,64.2559667297627,71.4947920155106,69.1712744888158
4,0.4,68.1830732104998,73.2700142162425,75.2805111228072,64.1768256674861,71.2474217178915,68.9928743667905
5,0.5,67.8847518465058,72.9784004799522,75.1180451169738,64.1060897647965,71.3067213340695,69.0310652663836
6,0.6,67.9117255010896,72.8964049575742,74.9739237243993,64.1812781952809,71.1677141693664,68.6423703368885
7,0.7,67.9322581682184,72.7228827278364,74.8952674705185,64.0568531660834,71.0714052786208,68.5393506957318
8,0.8,67.9222242253553,72.609783344698,74.9218417735527,64.2142744293446,71.0797316431105,68.6179584048078
9,0.9,68.1043216372409,72.8117843341817,75.1198911040481,64.5846443133803,71.1532085733364,68.9023623163519
10,1,67.9764227257166,72.6617065104085,74.8686460928646,63.9021877784474,70.9420886922972,68.6411788100545
